RunID,Timestamp,Model + version string,Input tokens	,Output tokens	,total tokens,Wall-clock time (s)        ,Tool-reported time (s)	,Files produced	,Lines of code	,Runs in browser?	,App Quality Score (/12),Code Quality Score (/12),Score Total out of 24,App Quality Notes	,Code Quality Notes	
candidate-026,2026-4-12 14:26,gemini-3-flash-preview,34577,3133,37710,387,147,3,321,Yes,10,10,20,Design is less terminal like than other ones. Interesting that you burn compute and gain tokens but then once you run out of compute you can't do anything,Code is simple and works.
candidate-027,2026-4-12 14:33,gemini-3-flash-preview,63598,6888,70486,400,150,3,597,Yes,11,10,21,"I like the design, and I like how it shows you the payout for the certain icon",Code is good and works.
candidate-028,2026-4-12 15:00,gemini-3-flash-preview,65594,6627,72221,153,125,4,551,Yes,11,12,23,This one had 5 slots. Interesting futuristic neon look. Can also add tokens to keep playing,Made a readme file. Had docstring for each function
candidate-029,2026-4-12 15:05,gemini-3-flash-preview,42069,6796,48865,112,62,3,584,Yes,10,10,20,Visuals are nice. Like the title glitching around effect. The slot pulling mechanism doesn't really feel like a slot machine but is very slow and just moving by one,Looks okay
candidate-030,2026-4-12 15:12,gemini-3-flash-preview,39305,6481,45786,138,86,3,596,Yes,12,11,23,"Quite funny, called TokenGPT-5 Hallucinizer. Has pay wall features and in the footer says ""Definitely not gambling""","Code is good, looks normal"
candidate-031,2026-04-12 15:42,gemini-3-flash-preview,67268,6040,73308,144,35.9,3,454,yes,10,11,21,"Funny and functional. Good web outlook. Adjustable token(50/100/500). It tricks me to gamble in some extent. Initial lottery rate is not that high, but the last gamble makes me earn a lot to keep gambling, so it's interesting.","look okay, but can with more comments "
candidate-032,2026-04-12 15:50,gemini-3-flash-preview,64674,6656,71330,320,6.7,3,435,yes,9,10,19,"Okay. Look more like a real slot machine. But the token is fixed. After out of token, there is nothing I can do","clean, but no comments"
candidate-033,2026-04-12 15:56,gemini-3-flash-preview,71386,5606,76992,277,141,3,466,yes,7,8,15,"Adjustable Token Size. High interest rate, but potentiall make me lose money. Good on that. However, when I could not decrease the token size after the money left is below it. SO problematic",problematic somehow in decreasing the token size. No comment
candidate-034,2026-04-12 16:04,gemini-3-flash-preview,58170,5536,63706,140,17.1,3,469,yes,7,9,16,Slow machine. The page outlook demonstrates some sentences that distract users. Unadjustable token size. Low interest of using,"ok, but no comment. Page outlook is not clean."
candidate-035,2026-04-12 16:08,gemini-3-flash-preview,81553,5773,87326,304,91,3,399,yes,7,9,16,Poor page outlook with all green. The interest rate is okay. It also covers the case when the token become 0.,"code looks okay, but the page outlook is poor."
candidate-036,4/12/2026 16:19,gemini-3-flash-preview,42261,4738,46999,326,3.3,3,348,yes,10,11,21,"Functional, not super visually appealing. Cool spinning animation, very simple/intuitive, unadjustable token size","Cleanly structured, with useful comments"
candidate-037,4/12/2026 16:29:00,gemini-3-flash-preview,60505,6867,67372,163,32.3,3,462,yes,11,12,23,"Creative messages, adjustable wagers, funny creative text messages. Unsure what ""confidence score"" is though","Cleanly structured, well-named variables, useful comments"
candidate-038,4/12/2026 16:34:00,gemini-3-flash-preview,61172,7569,68741,182,54.9,3,556,yes,10,11,21,"Boring UI, have to manually scroll through output messages. Funny/creative text, unadjustable token size","Cleanly structured, well-named variables, useful comments"
candidate-039,4/12/2026 16:40:00,gemini-3-flash-preview,45171,4642,49813,302,2.1,3,286,yes,8,8,16,"Boring UI, have to manually scroll through outputs. Request Funding button at bottom seems to be bugged","Cleanly structured, well-named variables, useful comments, but bugged as described in App Quality Notes"
candidate-040,4/12/2026 16:46:00,gemini-3-flash-preview,69290,7443,,162,42.5,4,531,yes,9,9,18,Slot display is bugged. Has SFX. Cool UI + wager adjustment features. Clever messages,"Cleanly structured, well-named variables, useful comments, but bugged as described in App Quality Notes"
candidate-041,2026-04-12,gemini-3-flash-preview,46068,3916,49984,897,134,"index.html, styles.css, script.js",320,Yes,5,8,13,"Works as intended, no visual bugs. Looks a big basic & the ""slots"" don't really move.",Well organized. Follows conventions but could use more comments.
candidate-042,2026-04-13,gemini-3-flash-preview,136564,13045,149609,324,91,"index.html, style.css, app.js",402,Yes,8,8,16,"Cool visual design, and works as intended. ",Well organized. Follows conventions. 
candidate-043,2026-04-14,gemini-3-flash-preview,92005,9318,101323,124,14,"index.html, style.css, script.js",535,Partial,6,6,12,"There is a visual bug. The title flashes in the wrong spot, and the screen shake is a bit off putting.",Code produces a visual bug
candidate-044,2026-04-15,gemini-3-flash-preview,81976,8617,90593,287,39,"index.html, style.css, script.js",515,Yes,7,8,15,"Works as intended, no visual bugs but is boring. The interface is a bit confusing to look at. Button says ""infer"" instead of something intuitive like ""run prompt"" or ""generate""",Well organized. Follows conventions. 
candidate-045,2026-04-16,gemini-3-flash-preview,59851,7851,67702,199,92,"index.html, style.css, script.js",391,Yes,,,,"Works as intended, no visual bugs. Follows the prompt, but when the slots rotate, they don't gradually accelerate or decelerate (stop and start abruptly).",Well organized. Follows conventions. 
candidate-046,2026-04-17,gemini-3-flash-preview,79559,12232,91791,198,76,"index.html, style.css, script.js, README.md",609,Yes,,,,"Works as intended, no visual bugs. Visually pleasing, has cool features like changing token cost per gamble.",Well organized. Follows conventions. 
candidate-047,2026-04-18,gemini-3-flash-preview,85679,6680,92359,136,48,"index.html, style.css, script.js",365,Partial,,,,Doesn't actually allow you to gain tokens so the slot machine doesn't really work.,"Some sort of logical bug, the code never produces a jackpot. "
candidate-048,2026-04-19,gemini-3-flash-preview,59154,6875,66029,135,49,"index.html, style.css, script.js",349,Yes,,,,"Works as intended, no visual bugs. Chosen color palette doesn't match.",Well organized. Follows conventions. 
candidate-049,2026-04-20,gemini-3-flash-preview,71996,5538,77534,213,83,"index.html, style.css, script.js",397,Yes,,,,"Works as intended but when run, the slots spin out of their own boxes, which looks wrong.",Well organized. Follows conventions. 
candidate-050,2026-04-21,gemini-3-flash-preview,60891,5967,66858,238,24,"index.html, style.css, app.js",364,Yes,,,,"Works as intended, no visual bugs.",Well organized. Follows conventions. 
candidate-007-refinement-1,2026-04-13T17:55:07-07:00,gemini-3-flash-preview,49302,6898,56200,650,586,0,148,Yes,,,,"Made actual improvements; UI has more features, seems less buggy",
candidate-019-refinement-1,2026-04-13T18:08:43-07:00,gemini-3-flash-preview,64705,7279,71984,901,887,0,250,Yes,,,,"Made improvements requested, even added sound",
candidate-030-refinement-1,2026-04-13T18:32:20-07:00,gemini-3-flash-preview,118521,7350,125871,1228,1213,0,253,Yes,,,,Improvements all around,
candidate-037-refinement-1,2026-04-13T19:08:06-07:00,gemini-3-flash-preview,47596,5558,53154,735,658,0,215,Yes,,,,Improvements all around,
candidate-042-refinement-1,2026-04-13T19:34:24-07:00,gemini-3-flash-preview,25173,4455,29628,547,507,0,164,Yes,,,,Seems to have issues with the spinner wheel one or more of the columns get inbetween a couple of icons instead of landing smoothly on one,
candidate-019-refinement-2,2026-04-13 20:42,gemini-3-flash-preview,141119,10766,151885,256,158,0,126,Yes,,,,works good,
candidate-030-refinement-2,2026-04-13 20:49,gemini-3-flash-preview,71074,9343,80417,376,221,0,135,Yes,,,,spinner doesn't work anymore and it gets stuck after pressing the spin button so you can only do it once,
candidate-037-refinement-2,2026-4-13 20:49,gemini-3-flash-preview,70733,9939,80672,376,214,0,171,Yes,,,,"removed the ability to add credits back into the game, after you can't have enough credits to roll on one setting it won't let you roll even if you swtich to a lower one and have enough",
candidate-019-refinement-3,2026-4-13 21:15,gemini-3-flash-preview,102672,"18,091","120,763",233,130,0,121,Yes,,,,Pretty much the same as the previous revision,
candidate-037-refinement-3,2026-4-13 21:17,gemini-3-flash-preview,53798,11118,64916,92,69,0,186,Yes,,,,Added audio and changed the theme to a dark version,
